causing_factor,caused_factor,p_value_adj,n_episodes
rates,inflation,2.7380488116927672e-21,21
inflation,rates,1.604413171317699e-17,21
value,em_equity,1.123113179638681e-13,21
value,inflation,7.489227889636092e-13,21
fx_usd,rates,7.627438242046371e-13,21
equity,credit,2.5202580545319696e-12,21
quality,em_equity,4.017645583420658e-11,21
vix,fx_usd,4.304219179529893e-11,21
commodities,inflation,5.6696924202664876e-11,21
fx_usd,value,6.047794278523132e-11,21
equity,em_equity,6.074502307722929e-11,21
quality,credit,1.2525358817493933e-10,21
fx_usd,vix,1.5984819095949391e-10,21
fx_usd,quality,5.237322893766359e-10,21
quality,fx_usd,6.572509587909094e-10,21
value,credit,7.958253981217593e-10,21
vix,em_equity,3.0972493697006265e-09,21
commodities,value,4.54861404026469e-09,21
equity,inflation,8.896104469414485e-09,21
quality,commodities,1.1636222246461854e-08,21
quality,inflation,3.3918931157341295e-08,21
fx_usd,commodities,5.899577209382224e-08,21
commodities,vix,6.057832693915442e-08,21
commodities,em_equity,7.235333202491751e-08,21
fx_usd,equity,1.36419096031763e-07,21
rates,fx_usd,2.903885894716363e-07,21
equity,quality,6.184049353395613e-07,21
em_equity,inflation,1.319324672010727e-06,21
rates,credit,1.5299954154809383e-06,21
equity,fx_usd,2.0273855773664514e-06,21
equity,commodities,2.247037614429041e-06,21
value,equity,3.457046176255793e-06,21
quality,equity,4.966998005596395e-06,21
vix,inflation,5.441303446829853e-06,21
credit,commodities,5.633317929797623e-06,21
value,quality,5.633317929797623e-06,21
commodities,rates,6.465138829455045e-06,21
vix,commodities,8.53816191131931e-06,21
rates,em_equity,9.302700356631821e-06,21
credit,inflation,1.3420544252783263e-05,21
vix,value,1.3559115070611707e-05,21
inflation,fx_usd,1.4775784061877852e-05,21
value,commodities,1.9444246758220738e-05,21
value,rates,2.0476309220125022e-05,21
em_equity,rates,2.75055121155992e-05,21
vix,credit,3.230542098359474e-05,21
em_equity,fx_usd,3.751400726944599e-05,21
commodities,equity,4.174212983468582e-05,21
rates,value,4.4135088048843454e-05,21
quality,rates,5.486788102332789e-05,21
rates,vix,5.740601490470024e-05,21
fx_usd,em_equity,5.740601490470024e-05,21
rates,quality,6.141247989000169e-05,21
credit,em_equity,6.830914742963405e-05,21
inflation,em_equity,9.109614768026348e-05,21
em_equity,commodities,0.00011449458227148728,21
em_equity,value,0.0001283275089531816,21
rates,equity,0.00013923153742866187,21
rates,commodities,0.00018092855153373913,21
value,vix,0.00019139977697440105,21
vix,rates,0.0002316632548832281,21
commodities,fx_usd,0.0002470627353321101,21
fx_usd,inflation,0.0002470627353321101,21
inflation,value,0.00027822745654606954,21
commodities,quality,0.00039721851652976554,21
value,fx_usd,0.00039721851652976554,21
equity,vix,0.0004443124012532214,21
commodities,credit,0.000487269044491706,21
fx_usd,credit,0.0005099211781792807,21
vix,equity,0.0005273454110232324,21
equity,rates,0.000568867856275512,21
em_equity,quality,0.0006692807882377103,21
em_equity,vix,0.0013550863820933697,21
credit,fx_usd,0.001434741629224348,21
quality,value,0.001848265791779781,21
inflation,commodities,0.002642689213671594,21
credit,quality,0.0028923228927303715,21
vix,quality,0.004143823609875229,21
credit,value,0.0045631465699893705,21
inflation,equity,0.004781403007496486,21
em_equity,equity,0.00521821717021036,21
credit,equity,0.005799599051533478,21
credit,rates,0.0062310493480325765,21
equity,value,0.00792070506826887,21
em_equity,credit,0.00937991866293138,21
inflation,quality,0.01519454783617388,21
inflation,credit,0.022394840501570926,21
inflation,vix,0.023140472713843226,21
