causing_factor,caused_factor,p_value_adj,n_episodes
credit,fx_usd,1.0704117733835185e-20,9
inflation,fx_usd,6.08634412867576e-19,9
value,fx_usd,8.318328864464405e-17,9
vix,em_equity,3.3638858292444443e-15,9
equity,fx_usd,3.3638858292444443e-15,9
quality,fx_usd,3.3638858292444443e-15,9
inflation,rates,3.3638858292444443e-15,9
quality,rates,2.1506037602827762e-14,9
equity,rates,2.1506037602827762e-14,9
value,rates,6.32349089149438e-14,9
em_equity,fx_usd,1.1465338684297312e-12,9
rates,inflation,1.2201220905334576e-12,9
inflation,credit,1.2201220905334576e-12,9
em_equity,rates,4.77435180484023e-12,9
fx_usd,commodities,4.77435180484023e-12,9
equity,credit,9.286607212112663e-12,9
vix,credit,2.039673591277644e-11,9
rates,em_equity,7.497307765454172e-11,9
value,credit,9.72233051035365e-11,9
vix,quality,1.7742864490689194e-10,9
inflation,em_equity,2.0656483659508568e-10,9
rates,fx_usd,9.423015014024994e-10,9
quality,credit,1.2626553221597782e-09,9
fx_usd,rates,2.4196511681544133e-09,9
vix,equity,3.1645873634243064e-09,9
fx_usd,credit,4.0466245072504135e-09,9
credit,rates,5.19138132615755e-09,9
value,inflation,6.295086999391316e-09,9
em_equity,value,6.295086999391316e-09,9
vix,rates,6.295086999391316e-09,9
vix,inflation,6.569819527355121e-09,9
value,quality,6.569819527355121e-09,9
inflation,quality,1.4109341737661891e-08,9
inflation,value,2.207677913079876e-08,9
quality,value,2.9138671248460176e-08,9
em_equity,credit,3.479754291167662e-08,9
equity,inflation,8.490238349458622e-08,9
inflation,vix,8.819070499884604e-08,9
inflation,equity,2.077786861971055e-07,9
quality,inflation,2.077786861971055e-07,9
fx_usd,em_equity,2.3561015650806856e-07,9
fx_usd,inflation,3.6673137118575724e-07,9
vix,value,6.453199294957586e-07,9
em_equity,inflation,6.453199294957586e-07,9
quality,equity,1.3532405784665206e-06,9
fx_usd,quality,1.907242447478217e-06,9
equity,quality,2.1589428513338537e-06,9
fx_usd,value,3.0300480008691526e-06,9
em_equity,commodities,3.7280113746288213e-06,9
quality,vix,4.051286634937498e-06,9
vix,fx_usd,4.633875141675329e-06,9
credit,value,4.822416976267338e-06,9
credit,inflation,9.064469510650954e-06,9
fx_usd,equity,1.3634534622388684e-05,9
rates,value,2.321386392169754e-05,9
em_equity,equity,3.5217684598379395e-05,9
credit,equity,3.5217684598379395e-05,9
credit,quality,4.270654308807646e-05,9
value,em_equity,7.107308552751977e-05,9
commodities,credit,7.915818750822882e-05,9
em_equity,quality,8.650934196778454e-05,9
commodities,value,8.884293205403485e-05,9
commodities,fx_usd,0.00010904010098182288,9
credit,vix,0.00011824610532571148,9
rates,credit,0.0001275304281611227,9
rates,quality,0.0001586384606948277,9
commodities,quality,0.00016004108745846707,9
rates,commodities,0.0001733993126382723,9
value,commodities,0.0001995130412124397,9
rates,equity,0.00022606757113734831,9
equity,value,0.00023433615296299394,9
commodities,equity,0.00037226059882276266,9
equity,vix,0.0003888749217719682,9
equity,commodities,0.0006123530093222751,9
commodities,rates,0.000729722184660635,9
value,equity,0.0009012268480376598,9
credit,commodities,0.0009374737687056444,9
vix,commodities,0.0010031569070580073,9
rates,vix,0.0013347481157805685,9
quality,commodities,0.001370286533637941,9
credit,em_equity,0.0020462306789641982,9
commodities,em_equity,0.002098618778771933,9
fx_usd,vix,0.002812357515148125,9
equity,em_equity,0.008927203706516196,9
inflation,commodities,0.00992509465328383,9
commodities,inflation,0.01675369571785281,9
em_equity,vix,0.025201908707628288,9
value,vix,0.040472892666004213,9
