causing_factor,caused_factor,p_value_raw,n_episodes,p_value_adj,significant
rates,inflation,3.042276457436408e-23,21,2.7380488116927672e-21,True
inflation,rates,3.56536260292822e-19,21,1.604413171317699e-17,True
value,em_equity,3.7437105987956036e-15,21,1.123113179638681e-13,True
value,inflation,3.328545728727152e-14,21,7.489227889636092e-13,True
fx_usd,rates,4.2374656900257615e-14,21,7.627438242046371e-13,True
equity,credit,1.6801720363546465e-13,21,2.5202580545319696e-12,True
quality,em_equity,3.124835453771623e-12,21,4.017645583420658e-11,True
vix,fx_usd,3.825972604026572e-12,21,4.304219179529893e-11,True
commodities,inflation,5.669692420266488e-12,21,5.6696924202664876e-11,True
fx_usd,value,6.719771420581257e-12,21,6.047794278523132e-11,True
equity,em_equity,7.424391709439135e-12,21,6.074502307722929e-11,True
quality,credit,1.6700478423325242e-11,21,1.2525358817493933e-10,True
fx_usd,vix,2.3089183138593564e-11,21,1.5984819095949391e-10,True
fx_usd,quality,8.146946723636559e-11,21,5.237322893766359e-10,True
quality,fx_usd,1.0954182646515156e-10,21,6.572509587909094e-10,True
value,credit,1.4148007077720165e-10,21,7.958253981217593e-10,True
vix,em_equity,5.850359920545628e-10,21,3.0972493697006265e-09,True
commodities,value,9.097228080529381e-10,21,4.54861404026469e-09,True
equity,inflation,1.8780664990986135e-09,21,8.896104469414485e-09,True
quality,commodities,2.5858271658804118e-09,21,1.1636222246461854e-08,True
quality,inflation,7.914417270046302e-09,21,3.3918931157341295e-08,True
fx_usd,commodities,1.4421188734045437e-08,21,5.899577209382224e-08,True
commodities,vix,1.5481127995561682e-08,21,6.057832693915442e-08,True
commodities,em_equity,1.9294221873311335e-08,21,7.235333202491751e-08,True
fx_usd,equity,3.789419334215639e-08,21,1.36419096031763e-07,True
rates,fx_usd,8.389003695847271e-08,21,2.903885894716363e-07,True
equity,quality,1.855214806018684e-07,21,6.184049353395613e-07,True
em_equity,inflation,4.104565646255595e-07,21,1.319324672010727e-06,True
rates,credit,4.929985227660801e-07,21,1.5299954154809383e-06,True
equity,fx_usd,6.757951924554837e-07,21,2.0273855773664514e-06,True
equity,commodities,7.739796227477807e-07,21,2.247037614429041e-06,True
value,equity,1.2291719737798375e-06,21,3.457046176255793e-06,True
quality,equity,1.8212326020520116e-06,21,4.966998005596395e-06,True
vix,inflation,2.0556035243579446e-06,21,5.441303446829853e-06,True
credit,commodities,2.2533271719190495e-06,21,5.633317929797623e-06,True
value,quality,2.2007839006923976e-06,21,5.633317929797623e-06,True
commodities,rates,2.657890407664852e-06,21,6.465138829455045e-06,True
vix,commodities,3.6050016958903753e-06,21,8.53816191131931e-06,True
rates,em_equity,4.031170154540456e-06,21,9.302700356631821e-06,True
credit,inflation,5.964686334570339e-06,21,1.3420544252783263e-05,True
vix,value,6.176930198834222e-06,21,1.3559115070611707e-05,True
inflation,fx_usd,6.895365895542998e-06,21,1.4775784061877852e-05,True
value,commodities,9.290029006705464e-06,21,1.9444246758220738e-05,True
value,rates,1.0010640063172232e-05,21,2.0476309220125022e-05,True
em_equity,rates,1.37527560577996e-05,21,2.75055121155992e-05,True
vix,credit,1.651165961383731e-05,21,3.230542098359474e-05,True
em_equity,fx_usd,1.9590648240710687e-05,21,3.751400726944599e-05,True
commodities,equity,2.2262469245165773e-05,21,4.174212983468582e-05,True
rates,value,2.4029103493259213e-05,21,4.4135088048843454e-05,True
quality,rates,3.048215612407105e-05,21,5.486788102332789e-05,True
