causing_factor,caused_factor,p_value_raw,n_episodes,p_value_adj,significant
credit,fx_usd,1.189346414870576e-22,9,1.0704117733835185e-20,True
inflation,fx_usd,1.3525209174835022e-20,9,6.08634412867576e-19,True
value,fx_usd,2.772776288154802e-18,9,8.318328864464405e-17,True
vix,em_equity,2.3312060440169315e-16,9,3.3638858292444443e-15,True
equity,fx_usd,2.364192893367099e-16,9,3.3638858292444443e-15,True
quality,fx_usd,2.616355644967901e-16,9,3.3638858292444443e-15,True
inflation,rates,1.5614340868182924e-16,9,3.3638858292444443e-15,True
quality,rates,2.080773798333655e-15,9,2.1506037602827762e-14,True
equity,rates,2.1506037602827763e-15,9,2.1506037602827762e-14,True
value,rates,7.026100990549311e-15,9,6.32349089149438e-14,True
em_equity,fx_usd,1.4013191725252271e-13,9,1.1465338684297312e-12,True
rates,inflation,1.6563258285366362e-13,9,1.2201220905334576e-12,True
inflation,credit,1.7623985752149942e-13,9,1.2201220905334576e-12,True
em_equity,rates,7.95725300806705e-13,9,4.77435180484023e-12,True
fx_usd,commodities,7.90482136986984e-13,9,4.77435180484023e-12,True
equity,credit,1.6509523932644736e-12,9,9.286607212112663e-12,True
vix,credit,3.852716783524438e-12,9,2.039673591277644e-11,True
rates,em_equity,1.4994615530908347e-11,9,7.497307765454172e-11,True
value,credit,2.052491996630215e-11,9,9.72233051035365e-11,True
vix,quality,3.9428587757087097e-11,9,1.7742864490689194e-10,True
inflation,em_equity,4.819846187218666e-11,9,2.0656483659508568e-10,True
rates,fx_usd,2.3034036700949985e-10,9,9.423015014024994e-10,True
quality,credit,3.2267858232972105e-10,9,1.2626553221597782e-09,True
fx_usd,rates,6.452403115078435e-10,9,2.4196511681544133e-09,True
vix,equity,8.790520453956407e-10,9,3.1645873634243064e-09,True
fx_usd,credit,1.1690248576501194e-09,9,4.0466245072504135e-09,True
credit,rates,1.557414397847265e-09,9,5.19138132615755e-09,True
value,inflation,2.0983623331304386e-09,9,6.295086999391316e-09,True
em_equity,value,1.963910715738924e-09,9,6.295086999391316e-09,True
vix,rates,2.0862462050961865e-09,9,6.295086999391316e-09,True
vix,inflation,2.2755201707442646e-09,9,6.569819527355121e-09,True
value,quality,2.3359358319484876e-09,9,6.569819527355121e-09,True
inflation,quality,5.17342530380936e-09,9,1.4109341737661891e-08,True
inflation,value,8.340116560523976e-09,9,2.207677913079876e-08,True
quality,value,1.1331705485512291e-08,9,2.9138671248460176e-08,True
em_equity,credit,1.3919017164670649e-08,9,3.479754291167662e-08,True
equity,inflation,3.4904313214441e-08,9,8.490238349458622e-08,True
inflation,vix,3.7236075443957216e-08,9,8.819070499884604e-08,True
inflation,equity,9.23460827542691e-08,9,2.077786861971055e-07,True
quality,inflation,9.030914176557186e-08,9,2.077786861971055e-07,True
fx_usd,em_equity,1.0733351574256456e-07,9,2.3561015650806856e-07,True
fx_usd,inflation,1.7114130655335337e-07,9,3.6673137118575724e-07,True
vix,value,3.092403807345209e-07,9,6.453199294957586e-07,True
em_equity,inflation,3.1548974330903753e-07,9,6.453199294957586e-07,True
quality,equity,6.766202892332603e-07,9,1.3532405784665206e-06,True
fx_usd,quality,9.748128064888664e-07,9,1.907242447478217e-06,True
equity,quality,1.127447933474346e-06,9,2.1589428513338537e-06,True
fx_usd,value,1.616025600463548e-06,9,3.0300480008691526e-06,True
em_equity,commodities,2.029695081742358e-06,9,3.7280113746288213e-06,True
quality,vix,2.250714797187499e-06,9,4.051286634937498e-06,True
vix,fx_usd,2.6258625802826866e-06,9,4.633875141675329e-06,True
credit,value,2.7862853640655732e-06,9,4.822416976267338e-06,True
credit,inflation,5.337965378494451e-06,9,9.064469510650954e-06,True
fx_usd,equity,8.18072077343321e-06,9,1.3634534622388684e-05,True
rates,value,1.418625017437072e-05,9,2.321386392169754e-05,True
em_equity,equity,2.2304533578973616e-05,9,3.5217684598379395e-05,True
credit,equity,2.215824700032608e-05,9,3.5217684598379395e-05,True
credit,quality,2.7521994434538163e-05,9,4.270654308807646e-05,True
value,em_equity,4.659235606804074e-05,9,7.107308552751977e-05,True
commodities,credit,5.277212500548588e-05,9,7.915818750822882e-05,True
em_equity,quality,5.863410955594286e-05,9,8.650934196778454e-05,True
commodities,value,6.120290874833511e-05,9,8.884293205403485e-05,True
commodities,fx_usd,7.632807068727601e-05,9,0.00010904010098182288,True
credit,vix,8.408611934272817e-05,9,0.00011824610532571148,True
rates,credit,9.21053092274775e-05,9,0.0001275304281611227,True
rates,quality,0.00011633487117620697,9,0.0001586384606948277,True
commodities,quality,0.00011914169844130328,9,0.00016004108745846707,True
rates,commodities,0.0001310128139933613,9,0.0001733993126382723,True
value,commodities,0.00015295999826287043,9,0.0001995130412124397,True
rates,equity,0.00017583033310682647,9,0.00022606757113734831,True
equity,value,0.000184865187337473,9,0.00023433615296299394,True
commodities,equity,0.00029780847905821014,9,0.00037226059882276266,True
equity,vix,0.00031542076988170755,9,0.0003888749217719682,True
equity,commodities,0.0005034902521094262,9,0.0006123530093222751,True
commodities,rates,0.0006081018205505292,9,0.000729722184660635,True
value,equity,0.0007610360050095794,9,0.0009012268480376598,True
credit,commodities,0.0008020608910037179,9,0.0009374737687056444,True
vix,commodities,0.0008694026527836064,9,0.0010031569070580073,True
rates,vix,0.0011716122349629435,9,0.0013347481157805685,True
quality,commodities,0.0012180324743448364,9,0.001370286533637941,True
credit,em_equity,0.0018416076110677783,9,0.0020462306789641982,True
commodities,em_equity,0.001912074887325539,9,0.002098618778771933,True
fx_usd,vix,0.002593618597303271,9,0.002812357515148125,True
equity,em_equity,0.00833205679274845,9,0.008927203706516196,True
inflation,commodities,0.009373700505879172,9,0.00992509465328383,True
commodities,inflation,0.016009087019281575,9,0.01675369571785281,True
em_equity,vix,0.024361845084040677,9,0.025201908707628288,True
value,vix,0.03957349505120412,9,0.040472892666004213,True
quality,em_equity,0.1008770577925235,9,0.10201050788007994,False
commodities,vix,0.22979751865358494,9,0.22979751865358494,False
