factor,scope,p_value_raw,p_value_adj,significant
equity,full_sample,5.060669355305256e-10,1.686889785101752e-09,True
rates,full_sample,0.009586877565638518,0.013695539379483597,True
credit,full_sample,3.038142595810835e-09,7.595356489527087e-09,True
commodities,full_sample,0.02137493998947165,0.02671867498683956,True
em_equity,full_sample,8.552687660663827e-07,1.4254479434439712e-06,True
fx_usd,full_sample,0.8668716525514104,0.8668716525514104,False
inflation,full_sample,0.7148051399444283,0.7942279332715869,False
value,full_sample,4.109665109733826e-09,8.219330219467653e-09,True
quality,full_sample,1.629684788918668e-10,8.148423944593339e-10,True
vix,full_sample,4.9924199580814256e-21,4.992419958081425e-20,True
equity,regime_calm,2.1083067223642837e-06,7.027689074547612e-06,True
rates,regime_calm,0.04573037116953335,0.05716296396191669,False
credit,regime_calm,0.002103590198365458,0.004207180396730916,True
commodities,regime_calm,0.0299480533755185,0.04278293339359786,True
em_equity,regime_calm,0.002726592515194753,0.004544320858657922,True
fx_usd,regime_calm,0.6032809797699479,0.6393801754101518,False
inflation,regime_calm,0.6393801754101518,0.6393801754101518,False
value,regime_calm,4.647390560501417e-06,1.161847640125354e-05,True
quality,regime_calm,2.00595262874389e-06,7.027689074547612e-06,True
vix,regime_calm,2.1224769648311512e-13,2.122476964831151e-12,True
equity,regime_turbulent,0.001364284807490823,0.003267757023024113,True
rates,regime_turbulent,0.18484420452372985,0.2640631493196141,False
credit,regime_turbulent,7.011152845239482e-05,0.0004164995611548191,True
commodities,regime_turbulent,0.48179623951924955,0.48179623951924955,False
em_equity,regime_turbulent,0.0016338785115120565,0.003267757023024113,True
fx_usd,regime_turbulent,0.24981621061156398,0.31227026326445495,False
inflation,regime_turbulent,0.32970414862883646,0.3663379429209294,False
value,regime_turbulent,0.0024442719742173782,0.004073786623695631,True
quality,regime_turbulent,0.0003845973563197002,0.001281991187732334,True
vix,regime_turbulent,8.329991223096383e-05,0.0004164995611548191,True
