start,end,n_days,peak_turb,mean_turb,named,cluster,type
2011-08-05,2011-08-19,11,49.10803918983346,22.206253622606223,2011 Euro/US dg,2,vix-led
2015-06-30,2015-07-07,5,15.854923365029657,8.915957652424806,,1,value+commodities-led
2015-08-24,2015-09-02,8,56.99368249688572,24.61201656008363,2015 China/oil,2,vix-led
2015-10-23,2015-10-29,5,20.16217183097507,8.042868041485102,2015 China/oil,1,value+commodities-led
2015-12-04,2015-12-14,7,20.685674346653407,11.106114781692765,2015 China/oil,2,vix-led
2017-08-11,2017-08-18,6,21.524051124692306,8.802926123054627,,2,vix-led
2018-01-30,2018-02-15,13,165.40771247117272,22.898810048599046,2018 Volmageddon,2,vix-led
2018-10-05,2018-10-15,7,37.361794474861604,11.270273529338736,2018 Q4,2,vix-led
2018-11-02,2018-11-21,14,16.85957971042553,8.809817457568345,2018 Q4,2,vix-led
2018-11-29,2018-12-27,19,59.86964478533043,13.93521444908886,2018 Q4,3,equity-led
2019-05-07,2019-05-14,6,14.585762807854973,8.244917593478577,,2,vix-led
2019-05-29,2019-06-10,9,22.73860714122649,11.331607521175137,,1,value+commodities-led
2019-08-02,2019-08-15,10,24.323815595487336,10.443276267111035,,2,vix-led
2019-09-10,2019-09-18,7,52.58983910200046,13.255034203533777,,1,value+commodities-led
2020-01-22,2020-02-03,9,16.74078127474303,8.232234981971859,,1,value+commodities-led
2020-02-25,2020-05-19,60,365.603911499529,77.84968705001829,2020 COVID,1,value+commodities-led
2020-05-27,2020-06-16,15,50.14194634438751,17.16992709760609,2020 COVID,1,value+commodities-led
2020-06-25,2020-07-24,21,22.161073486525794,10.497534722256436,,1,value+commodities-led
2020-08-03,2020-08-12,8,19.761026538389135,7.914267128838669,,1,value+commodities-led
2020-08-27,2020-09-09,9,35.55173741665679,16.800130491015075,,3,equity-led
2020-10-05,2020-10-13,7,14.87678410717721,8.495319313895829,,3,equity-led
2020-10-29,2020-11-11,10,79.34463962663294,24.004783277267425,,1,value+commodities-led
2021-01-05,2021-01-11,5,43.29442452803146,17.218437573212828,,1,value+commodities-led
2021-02-23,2021-03-25,23,32.5292269577579,14.00781104394735,,1,value+commodities-led
2021-07-20,2021-07-27,6,20.20665764241164,10.071487567805233,,1,value+commodities-led
2021-09-29,2021-10-05,5,13.501027058488944,8.868508903068292,,1,value+commodities-led
2021-10-29,2021-11-11,10,19.32412105718204,9.29621279256755,,1,value+commodities-led
2021-11-23,2021-12-08,11,67.08794264744172,16.632533912184154,,2,vix-led
2022-01-04,2022-01-10,5,24.356763323838834,11.41892746719889,2022 inflation,3,equity-led
2022-01-28,2022-02-16,14,34.88308582894748,13.407343064290353,2022 inflation,3,equity-led
2022-02-24,2022-07-19,100,139.16751673616048,21.822406536535027,2022 inflation,1,value+commodities-led
2022-09-08,2022-09-14,5,37.91357156602693,13.154770363701875,2022 inflation,3,equity-led
2022-09-26,2022-11-14,36,99.56126424461736,20.748488819166326,2022 inflation,1,value+commodities-led
2022-12-28,2023-01-09,8,26.23079875958825,13.116330661331105,2022 inflation,1,value+commodities-led
2023-03-13,2023-03-23,9,26.282961484368514,15.313227235367338,,1,value+commodities-led
2024-07-12,2024-08-07,19,51.755035490893896,12.570981076472696,,2,vix-led
2025-04-04,2025-04-11,6,123.71546278420524,51.50090034406764,,3,equity-led
2026-03-03,2026-03-13,9,33.640133235118704,14.753488503758929,,1,value+commodities-led
